VASSETID,NLSTHOUR,NLSTMTC,NVALUE,VPMID
ACO.P1.H4.GAEO1.002,2218.1,1599628937817.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.004,1889.2,1598581895639.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.005,2036.5,1598329895584.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.006,2102.3,1602047724447.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.007,2130.7,1598938295668.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.008,2190.6,1598322695587.0,750.0,IOT000PM0001
ACO.P1.H4.GAEO1.009,2154.0,1598855495663.0,750.0,IOT000PM0001
ACO.P1.H4.GAHR0.022,799.723888888889,1591290000000.0,750.0,IOT000PM0001
ACO.P1.H4.GAHR0.035,2413.8,1601900124156.0,750.0,IOT000PM0001
ACO.P1.H4.GAHR0.036,1923.3,1600229535556.0,750.0,IOT000PM0001
ACO.P1.H4.GAHR0.037,2478.3,1602126924449.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.018,695.361388888889,1591635600000.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.020,2094.2,1599796777207.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.023,781.989166666667,1591290000000.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.038,2826.4,1606299364113.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.040,1839.5,1598358695584.0,750.0,IOT000PM0001
ACO.P1.H4.HR000.042,1718.4,1600218735553.0,750.0,IOT000PM0001
ACO.P1.H4.IRE00.021,1028.45055555556,1591635600000.0,750.0,IOT000PM0001
ACO.P1.H4.IRE00.024,1895.6,1602144924688.0,750.0,IOT000PM0001
ACO.P1.H4.IRE00.025,3001.8,1602213324858.0,750.0,IOT000PM0001
ACO.P1.H4.SI000.017,3391.3,1599650537823.0,750.0,IOT000PM0001
ACO.P1.H5.BC000.030,694.911388888889,1591808400000.0,750.0,IOT000PM0001
ACO.P1.H5.BC000.031,1705.3,1602659725469.0,750.0,IOT000PM0001
ACO.P1.H5.GAEO1.003,2220.0,1599100295692.0,750.0,IOT000PM0001
ACO.P1.H5.GAEO1.006,1782.4,1600395135628.0,750.0,IOT000PM0001
ACO.P1.H5.GAEO1.007,1789.5,1598520695633.0,750.0,IOT000PM0001
ACO.P1.H5.RMCIA.013,1512.49944444444,1595782800000.0,750.0,IOT000PM0001
