VASSETID,INDOOR,OUTDOOR,MQTT,CUR,VOL,HUM,TMP1,TMP2,TMP3,TMP4
ACO.P1.C2.GAEO1.007,0,0,0,0,0,0,0,0,0,0
ACO.P1.H4.HR000.018,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.HC000.002,0,0,0,0,0,0,0,0,0,0
ACO.P1.A4.SI000.013,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.HC000.003,0,0,0,0,0,0,0,0,0,0
ACO.P1.A4.SI000.015,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.P1PAY.021,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.IT000.012,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.FPR00.011,0,0,0,0,0,0,0,0,0,0
ACO.P1.H4.GAHR0.035,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.IT000.010,0,0,0,0,0,0,0,0,0,0
ACO.P1.B1.SECP1.038,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.IT000.009,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.FPR00.010,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAEO1.028,0,0,0,0,0,0,0,0,0,0
ACO.P1.H4.IRE00.021,0,0,0,0,0,0,0,0,0,0
ACO.P1.B2.SECP1.030,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.P1PAY.022,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.FPR00.013,0,0,0,0,0,0,0,0,0,0
ACO.P1.C2.EO100.022,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.P1PAY.023,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAEO1.025,0,0,0,0,0,0,0,0,0,0
ACO.P1.B2.MDE00.005,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.FPR00.012,0,0,0,0,0,0,0,0,0,0
ACO.P1.B1.SECP1.036,0,0,0,0,0,0,0,0,0,0
ACO.P1.H3.GAEO1.009,0,0,0,0,0,0,0,0,0,0
ACO.P1.H5.BC000.031,0,0,0,0,0,0,0,0,0,0
ACO.P1.B1.SECP1.039,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAEO1.016,0,0,0,0,0,0,0,0,0,0
