VASSETID,INDOOR,OUTDOOR,MQTT,CUR,VOL,HUM,TMP1,TMP2,TMP3,TMP4
ACO.P1.C2.GAEO1.001,1,1,1,4.54,220.4,99.9,9.4,28.87,29.31,27.81
ACO.P1.H1.P1PAY.020,1,1,1,9.34,213.5,0,0,8.75,51.68,52.43
ACO.P1.A4.SI000.017,1,0,1,0.15,230.3,63.1,21.9,0,0,0
ACO.P1.A4.IT000.008,1,1,1,0.68,229.5,99.9,18,22,44.37,43.25
ACO.P1.A4.SI000.014,1,0,1,0.18,231.1,99.9,9.1,0,0,0
ACO.P1.C2.GAEO1.006,1,1,1,0.2,225.7,99.9,23,52.93,16.87,49
ACO.P1.A4.IT000.007,1,1,1,2.01,228.3,99.9,15.2,26.18,26.37,26.62
ACO.P1.A4.SI000.010,1,1,1,0.21,228.1,99.9,6.7,6.93,68.56,65.93
ACO.P1.A4.IT000.005,1,1,1,0.19,229.3,96,24.3,27.31,27.5,27.12
ACO.P1.A4.SI000.016,1,1,1,0.2,223.6,99.9,3.7,-2.43,70.06,71.87
ACO.P1.H4.HR000.042,1,0,1,0.12,224.9,99.9,17.4,0,0,0
ACO.P1.C2.GAEO1.007,1,0,1,0.87,226.7,99.9,14.9,0,0,0
ACO.P1.H1.GAEO1.027,1,1,1,1.49,226.7,0,0,29.31,29.93,27.93
ACO.P1.H1.GAEO1.026,1,1,1,0.15,225.7,99.9,21.2,26,25.87,25.68
ACO.P1.H4.HR000.018,1,0,1,0.18,226.6,61.7,28.6,0,0,0
ACO.P1.C2.HC000.002,0,0,0,0,0,0,0,0,0,0
ACO.P1.A4.SI000.013,1,1,1,0.19,224.1,99.9,4,-1.68,70.12,72.93
ACO.P1.C2.HC000.003,1,0,1,0.18,225.1,97.9,27.3,26.43,27.31,27
ACO.P1.A4.SI000.015,1,0,1,0.2,226.4,1,7,0.68,65.5,68.31
ACO.P1.H1.P1PAY.021,1,1,1,2.37,223.6,0,0,23.31,28.18,25.5
ACO.P1.C2.IT000.012,1,0,1,1.77,224,0,0,0,0,0
ACO.P1.H1.FPR00.011,1,1,1,8.65,222.8,99.9,15.7,14.43,73.31,76.68
ACO.P1.C2.IT000.010,1,0,1,3.69,224.1,99.9,14,0,0,0
ACO.P1.H4.GAHR0.035,1,1,1,2.39,224.1,99.9,17.7,0,0,0
ACO.P1.B1.SECP1.038,1,1,1,0.06,227.7,99.9,27.3,29.5,29.62,28.93
ACO.P1.C2.IT000.009,1,0,1,3.15,224.5,99.9,8.4,8.25,50.06,-127
ACO.P1.H1.GAEO1.028,1,1,1,10.27,220.1,0,0,25.06,26.12,26.43
ACO.P1.H1.FPR00.010,1,0,1,7.8,226,0,0,0,0,0
ACO.P1.H4.IRE00.021,1,1,1,0.06,226.6,99.9,29.2,28.18,27.43,26.87
ACO.P1.B2.SECP1.030,1,1,1,3.57,224.3,99.9,8.4,13,60.68,69
ACO.P1.H1.P1PAY.023,1,1,1,1.82,224.4,99.9,12.3,12.81,80.81,84.5
ACO.P1.H1.P1PAY.022,1,1,1,5.81,218.7,0,0,10.56,75.75,88.87
ACO.P1.C2.EO100.022,1,1,1,0.23,225.3,0,0,32,53.56,79.87
ACO.P1.H1.FPR00.013,1,1,1,15.1,220,0,0,76.81,119.75,41.68
ACO.P1.B2.MDE00.005,1,0,1,3.6,224.6,99.9,17.3,18.25,-127,63.87
ACO.P1.H1.FPR00.012,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAEO1.025,1,1,1,9.27,220.6,0,0,22,94.68,93.81
ACO.P1.B1.SECP1.036,1,0,1,1.8,227,99.9,24,0,0,0
ACO.P1.H3.GAEO1.009,1,1,1,5.06,226.6,99.9,3.6,10.93,66.87,39.81
ACO.P1.B1.SECP1.039,1,1,1,9.48,218.5,0,0,10,67.37,66.43
ACO.P1.H5.BC000.031,1,0,1,0,223.6,59.8,26.2,0,0,0
ACO.P1.H1.GAEO1.016,1,1,1,6.03,220.8,0,0,25.56,26.12,27.25
